,INCIDENT_UNIQUE_IDENTIFIER,SUBJECT_GENDER,SUBJECT_DETAILS,SUBJECT_RACE,SUBJECT_DETAILS.2,SEARCH_REASON,INCIDENT_REASON,INCIDENT_REASON.1,VEHICLE_MAKE,VEHICLE_YEAR,VEHICLE_COLOR,VEHICLE_DETAILS,VEHICLE_DETAILS.1,OFFICER_SUPERVISOR,OFFICER_ID,OFFICER_ASSIGNMENT,OFFICER_AGE,LOCATION_STREET_NUMBER,LOCATION_CITY,Year,Month,Day,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,SEARCH_CONDUCTED,SEARCH_CONDUCTED,DISPOSITION,DISPOSITION,DISPOSITION,subject_Cluster_K_Means,subject_Cluster_GMM,vehicle_Cluster_K_Means,vehicle_Cluster_GMM,location_Cluster_K_Means,location_Cluster_GMM,officer_Cluster_K_Means,officer_Cluster_GMM,action_Cluster_K_Means,action_Cluster_GMM,date_Cluster_K_Means,date_Cluster_GMM
47071,OTHER,1,YES,Black,Dark,REASONABLE SUSPICION,INVESTIGATIVE,VAL,HONDA,2002.0,GREY,DRIVER,MA,11756.0,116141,4,0.17142857142857143,485,Dorchester,0.5,0.1818181818181818,0.0,0,1,0,0,0,1,0,0,1,0,2,2,5,10,1,1,19,1,1,6,10,45
140590,OTHER,1,NO,White,Light,REASONABLE SUSPICION,OTHER,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8949.0,116113,1,0.17142857142857143,543,Boston,0.25,0.9999999999999999,0.43333333333333335,0,1,0,0,0,1,0,0,1,0,10,10,0,0,0,4,3,1,0,19,12,21
67180,OTHER,1,YES,White,Light,PROBABLE CAUSE,INVESTIGATIVE,WARRANTS,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8662.0,102400,6,0.2571428571428571,OTHER,South Boston,0.0,0.9999999999999999,0.9333333333333333,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,6,6,4,3,23,2,2
109655,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,VAL,FORD,2000.0,RED,PASSENGER,MA,10739.0,99771,16,0.18571428571428572,4562,Boston,0.0,0.6363636363636364,0.3,0,1,0,1,1,1,1,0,1,0,1,1,2,11,2,9,3,1,2,15,8,24
77354,OTHER,1,YES,White,Fair,CONSENT SEARCH,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10166.0,103779,1,0.14285714285714285,OTHER,OTHER,0.75,0.1818181818181818,0.7,0,0,0,1,0,1,0,0,1,0,12,18,0,0,0,14,3,1,3,18,9,32
72166,OTHER,1,YES,Black,Dark,PROBABLE CAUSE,MOTOR VEHICLE VIOLATION,VAL,HONDA,2002.0,BLACK,PASSENGER,MA,86201.0,91908,16,0.17142857142857143,OTHER,Dorchester,0.0,0.5454545454545454,0.23333333333333334,0,1,0,1,0,1,0,0,1,0,2,2,2,6,2,3,23,1,2,3,8,0
64849,OTHER,1,YES,Hispanic,Light,PROBABLE CAUSE,OTHER,CITY ORDINANCE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10060.0,75647,1,0.14285714285714285,4771,South End,0.0,0.4545454545454545,0.7333333333333333,0,1,1,1,1,1,0,0,1,1,7,5,0,0,0,48,3,1,0,7,11,49
44682,OTHER,1,YES,White,Fair,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,9600.0,102680,1,0.14285714285714285,543,Boston,1.0,0.0,0.8666666666666667,0,0,0,1,0,1,0,0,1,0,12,13,0,0,0,4,3,1,3,10,15,41
117496,OTHER,1,YES,Black,Dark,REASONABLE SUSPICION,INVESTIGATIVE,ALCOHOL,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11610.0,107106,11,0.17142857142857143,OTHER,Roslindale,0.25,0.7272727272727273,0.1,0,1,0,1,1,1,0,0,1,0,2,26,0,0,0,15,7,1,1,14,6,53
44056,OTHER,1,YES,Black,Dark,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11756.0,103761,4,0.17142857142857143,3844,Hyde Park,0.5,0.2727272727272727,0.7333333333333333,0,1,0,0,0,1,0,0,1,0,2,2,0,0,0,42,3,4,1,12,1,10
70445,OTHER,1,NO,Hispanic,Light,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,HONDA,2002.0,GREY,DRIVER,MA,9965.0,116224,9,0.17142857142857143,822,OTHER,0.0,0.5454545454545454,0.3666666666666667,0,1,0,0,0,0,1,0,1,0,14,21,1,10,0,36,3,1,1,12,8,9
31911,OTHER,1,YES,White,Light,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8311.0,106698,10,0.2571428571428571,OTHER,OTHER,0.25,0.0,0.6333333333333333,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,2,3,4,5,2,9,35
118344,OTHER,1,YES,Black,Med,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,9021.0,9041,5,0.18571428571428572,1350,OTHER,0.5,0.5454545454545454,0.7333333333333333,0,1,0,1,0,1,0,0,1,0,1,28,0,0,0,30,3,1,1,5,11,36
90024,OTHER,1,YES,White,OTHER,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11756.0,116209,4,0.2142857142857143,485,Roxbury,0.5,0.09090909090909091,0.6,0,1,0,1,0,1,0,0,1,0,13,16,0,0,0,25,3,1,5,2,9,15
112821,OTHER,1,YES,White,OTHER,PROBABLE CAUSE,INVESTIGATIVE,DISTURBANCE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11596.0,116893,8,0.2142857142857143,2893,Boston,0.75,0.6363636363636364,0.7,0,1,0,1,0,1,0,0,1,0,13,21,0,0,0,12,3,1,2,13,11,11
24523,OTHER,1,YES,Black,Dark,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11610.0,116234,3,0.17142857142857143,485,Roxbury,0.5,0.7272727272727273,0.7333333333333333,0,1,0,1,0,1,0,0,1,0,2,2,0,0,0,8,3,1,1,5,5,31
37767,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8835.0,51102,3,0.18571428571428572,485,OTHER,0.0,0.2727272727272727,0.9333333333333333,0,1,0,0,0,1,0,0,1,0,1,22,0,0,0,17,3,1,5,22,3,10
87261,OTHER,1,YES,Black,Med,PROBABLE CAUSE,OTHER,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,OTHER,OTHER,2,0.18571428571428572,506,East Boston,0.5,0.0,0.26666666666666666,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,11,1,3,0,7,4,30
40870,OTHER,1,YES,Black,Dark,PROBABLE CAUSE,OTHER,VAL,HONDA,2001.0,BLUE,DRIVER,MA,86124.0,91908,16,0.17142857142857143,OTHER,Dorchester,0.25,0.5454545454545454,0.8333333333333334,0,1,1,1,1,1,1,0,1,0,2,26,6,4,2,3,23,1,2,21,13,36
36437,OTHER,1,YES,White,Med,PROBABLE CAUSE,RADIO CALL,LARCENY,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8949.0,11239,1,0.32857142857142857,OTHER,OTHER,0.5,0.2727272727272727,0.0,0,1,0,1,0,1,0,0,1,0,6,3,0,0,0,14,3,1,4,18,10,47
102204,OTHER,1,NO,White,Light,PROBABLE CAUSE,MOTOR VEHICLE VIOLATION,INVESTIGATE,HONDA,2000.0,BLUE,PASSENGER,MA,8695.0,93797,5,0.17142857142857143,1350,Dorchester,0.25,0.0,0.7333333333333333,0,1,1,1,1,1,0,0,1,0,10,19,2,13,1,10,3,1,5,16,15,41
83449,OTHER,1,YES,White,Med,REASONABLE SUSPICION,INVESTIGATIVE,LARCENY,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8022.0,102291,6,0.32857142857142857,106,OTHER,0.5,0.0,0.43333333333333335,0,1,1,1,1,1,0,0,1,0,6,3,0,0,0,23,3,4,1,18,9,30
138616,OTHER,1,YES,Black,Med,REASONABLE SUSPICION,RADIO CALL,ROBBERY,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,12283.0,107106,3,0.18571428571428572,485,Roxbury,0.0,0.6363636363636364,0.5666666666666667,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,8,7,1,6,31,11,42
105680,OTHER,1,YES,White,Light,PROBABLE CAUSE,RADIO CALL,DRUGS,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8237.0,93478,9,0.2571428571428571,822,Jamaica Plain,1.0,0.0,0.5,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,24,3,1,4,4,9,35
57265,OTHER,1,YES,Black,Med,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,HONDA,2008.0,BLACK,DRIVER,MA,10502.0,99731,16,0.18571428571428572,OTHER,Dorchester,0.25,0.6363636363636364,0.6,0,1,0,1,0,1,0,0,1,0,1,1,1,1,2,3,4,1,1,5,11,11
76815,OTHER,1,YES,Black,Dark,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8311.0,OTHER,10,0.17142857142857143,OTHER,OTHER,0.25,0.4545454545454545,0.4,0,0,0,1,0,1,0,0,1,0,2,2,0,0,0,2,1,3,3,10,8,49
77037,OTHER,1,YES,Hispanic,Light,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,HONDA,2002.0,BLACK,PASSENGER,MA,8971.0,116222,9,0.14285714285714285,822,Jamaica Plain,0.75,0.0,0.4666666666666667,0,1,0,1,1,1,0,0,1,0,7,5,2,6,2,24,3,1,5,2,9,8
61144,OTHER,1,YES,White,Light,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8773.0,108890,5,0.2571428571428571,1350,OTHER,0.0,0.9999999999999999,0.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,30,3,4,5,22,2,2
142720,OTHER,1,NO,Black,Med,REASONABLE SUSPICION,INVESTIGATIVE,VAL,FORD,2000.0,RED,PASSENGER,MA,8835.0,95177,3,0.15714285714285714,485,Roxbury,0.25,0.09090909090909091,0.0,0,0,0,1,0,1,0,0,1,0,3,7,2,11,0,8,9,1,1,6,4,14
149793,OTHER,1,YES,Black,Med,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11612.0,11817,16,0.18571428571428572,485,OTHER,1.0,0.36363636363636365,0.1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,2,18,17,1,1,5,10,28
41336,OTHER,1,YES,White,Light,PROBABLE CAUSE,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10591.0,102371,9,0.2571428571428571,822,Jamaica Plain,0.5,0.6363636363636364,0.16666666666666669,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,24,3,4,4,18,0,24
8514,OTHER,1,YES,White,OTHER,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,7998.0,120914,8,0.2142857142857143,4124,Dorchester,0.25,0.8181818181818182,0.3,0,0,0,1,0,1,0,0,1,0,13,16,0,0,1,31,3,1,3,10,12,40
72567,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11756.0,102676,4,0.18571428571428572,485,Dorchester,0.25,0.36363636363636365,0.3666666666666667,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,3,4,5,2,7,46
10283,OTHER,1,YES,Black,Dark,PROBABLE CAUSE,INVESTIGATIVE,B&E,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11610.0,81441,3,0.17142857142857143,485,Roxbury,0.5,0.1818181818181818,0.4666666666666667,0,1,0,1,0,1,0,0,1,0,2,26,0,0,0,8,3,1,2,23,9,43
2567,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11312.0,99734,16,0.18571428571428572,OTHER,Dorchester,0.25,0.6363636363636364,0.5333333333333333,0,1,0,1,0,1,0,0,1,0,1,1,0,0,2,3,3,1,5,2,14,17
55070,OTHER,1,NO,White,Light,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11612.0,9032,8,0.17142857142857143,2893,OTHER,0.0,0.1818181818181818,0.5,0,1,0,1,1,1,0,0,1,0,10,22,0,0,0,21,3,1,5,2,9,43
43557,OTHER,1,YES,Hispanic,Med,PROBABLE CAUSE,MOTOR VEHICLE VIOLATION,INVESTIGATE,HONDA,2008.0,BLACK,DRIVER,MA,11312.0,93855,16,0.18571428571428572,OTHER,Dorchester,0.75,0.2727272727272727,0.4666666666666667,0,1,0,1,1,1,1,0,1,0,5,4,1,1,2,3,3,1,5,16,7,22
1598,OTHER,1,YES,Hispanic,Med,CONSENT SEARCH,OTHER,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10739.0,11631,16,0.18571428571428572,OTHER,Dorchester,0.25,0.36363636363636365,0.3666666666666667,0,1,0,0,0,1,0,0,1,0,5,4,0,0,2,3,14,1,0,18,7,46
25733,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,HONDA,2002.0,GREY,DRIVER,MA,9021.0,103790,5,0.18571428571428572,1350,OTHER,0.25,0.8181818181818182,0.3333333333333333,0,0,0,1,0,1,0,0,1,0,1,1,5,10,0,30,3,1,3,10,12,40
1004,OTHER,1,YES,White,Light,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10534.0,53071,8,0.2571428571428571,2893,OTHER,0.25,0.8181818181818182,0.13333333333333333,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,21,3,1,5,2,6,52
62803,OTHER,1,YES,Hispanic,Med,PROBABLE CAUSE,OTHER,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8180.0,74878,1,0.18571428571428572,543,Boston,0.25,0.7272727272727273,0.4,0,0,0,1,0,1,0,0,1,0,5,24,0,0,0,4,3,1,0,18,8,31
133076,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10739.0,55238,16,0.18571428571428572,OTHER,Roxbury,0.75,0.6363636363636364,0.2,0,1,0,0,1,1,0,0,1,0,1,1,0,0,2,7,24,1,5,22,0,24
126723,OTHER,1,YES,Black,Dark,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,TOYOTA,2001.0,WHITE,DRIVER,MA,11756.0,55390,4,0.17142857142857143,4771,Boston,0.0,0.2727272727272727,0.9666666666666667,0,1,0,1,0,1,0,0,1,0,2,2,3,3,0,41,3,1,5,2,3,10
130237,OTHER,1,NO,Black,Med,REASONABLE SUSPICION,INVESTIGATIVE,OTHER,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11401.0,99753,7,0.15714285714285714,1033,Brighton,0.5,0.2727272727272727,0.03333333333333333,0,1,0,1,1,1,0,0,1,0,3,7,0,0,0,27,3,1,1,14,10,37
128633,OTHER,1,NO,Black,Med,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,HONDA,2000.0,GREEN,DRIVER,MA,8311.0,8311,10,0.15714285714285714,OTHER,OTHER,0.25,0.6363636363636364,0.3,0,1,0,0,0,1,0,0,1,0,3,7,3,12,0,2,3,1,1,12,8,24
24788,OTHER,1,YES,White,Fair,CONSENT SEARCH,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8237.0,102399,9,0.14285714285714285,822,Roxbury,1.0,0.2727272727272727,0.7333333333333333,0,1,1,1,1,1,0,0,1,0,12,13,0,0,0,33,3,4,3,18,1,10
132051,OTHER,1,YES,Black,Med,PROBABLE CAUSE,MOTOR VEHICLE VIOLATION,WARRANTS,HONDA,2002.0,GREY,DRIVER,MA,11312.0,83200,16,0.18571428571428572,485,OTHER,0.5,0.8181818181818182,0.3333333333333333,0,1,1,1,1,1,1,1,1,1,1,1,5,10,2,18,3,1,2,32,12,40
70407,OTHER,1,NO,Black,Med,PROBABLE CAUSE,RADIO CALL,GUNSHOTS,HONDA,2002.0,GREY,DRIVER,MA,8773.0,103783,5,0.15714285714285714,1350,Dorchester,0.0,0.09090909090909091,0.6333333333333333,0,1,0,1,0,1,1,0,1,0,3,7,3,10,1,10,3,1,4,4,9,15
72343,OTHER,1,YES,Hispanic,Med,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8949.0,12271,1,0.18571428571428572,OTHER,OTHER,0.5,0.8181818181818182,0.9333333333333333,0,1,0,1,0,1,0,0,1,0,5,4,0,0,0,14,3,1,1,5,5,50
127097,OTHER,1,YES,Black,Dark,REASONABLE SUSPICION,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11756.0,105619,4,0.17142857142857143,485,Dorchester,0.0,0.6363636363636364,0.4666666666666667,0,1,0,1,1,1,0,0,1,0,2,2,0,0,1,1,3,4,6,18,8,42
113334,OTHER,1,NO,Black,Dark,CONSENT SEARCH,MOTOR VEHICLE VIOLATION,VAL,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10965.0,116172,5,0.14285714285714285,1350,Dorchester,0.75,0.8181818181818182,0.1,0,1,0,1,0,1,0,0,1,0,4,8,0,0,1,10,3,1,2,28,6,52
83334,OTHER,1,YES,Black,Light,REASONABLE SUSPICION,OTHER,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11756.0,108877,4,0.15714285714285714,485,Dorchester,0.25,0.4545454545454545,0.8,0,1,0,1,1,1,0,0,1,0,8,6,0,0,1,1,3,4,0,18,3,49
16143,OTHER,1,YES,Black,Dark,PROBABLE CAUSE,MOTOR VEHICLE VIOLATION,DRUGS,HONDA,2002.0,BLACK,PASSENGER,MA,86124.0,103559,16,0.17142857142857143,OTHER,Mattapan,0.5,0.5454545454545454,0.06666666666666668,0,1,0,1,0,1,1,0,1,0,2,2,2,6,2,13,11,4,2,30,0,54
148796,OTHER,1,YES,White,Fair,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8662.0,OTHER,6,0.14285714285714285,OTHER,South Boston,0.25,0.36363636363636365,0.4,0,1,0,1,0,1,0,0,1,0,12,18,0,0,0,6,1,3,1,5,7,46
147581,OTHER,1,YES,Hispanic,Med,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8695.0,103771,5,0.18571428571428572,1350,Dorchester,0.25,0.36363636363636365,0.1,0,1,0,1,0,1,0,0,1,0,5,24,0,0,1,10,3,1,1,5,10,28
111506,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10739.0,99774,16,0.18571428571428572,OTHER,Mattapan,0.0,0.09090909090909091,0.5,0,1,0,1,0,1,0,0,1,0,1,1,0,0,2,13,3,1,5,2,9,15
45092,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,HONDA,2001.0,BLUE,DRIVER,MA,9965.0,OTHER,9,0.18571428571428572,822,OTHER,0.0,0.36363636363636365,0.26666666666666666,0,1,0,0,1,1,0,0,1,0,1,1,6,4,0,36,1,3,5,22,7,46
7497,OTHER,1,YES,White,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10060.0,10801,1,0.32857142857142857,543,Boston,1.0,0.1818181818181818,0.5333333333333333,0,0,0,1,0,1,0,0,1,0,6,3,0,0,0,4,3,1,3,10,9,43
67522,OTHER,1,YES,Black,Dark,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,HONDA,1998.0,GREY,DRIVER,MA,10132.0,75653,16,0.17142857142857143,OTHER,Hyde Park,0.75,0.0,0.7666666666666667,0,1,0,0,0,1,0,0,1,0,2,2,5,5,2,28,3,1,1,12,15,41
7960,OTHER,1,YES,Black,Dark,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,HONDA,1999.0,GREEN,PASSENGER,MA,11596.0,OTHER,2,0.17142857142857143,506,East Boston,0.25,0.4545454545454545,0.9666666666666667,0,1,0,0,1,0,1,0,1,0,2,2,2,2,0,11,1,3,1,12,3,18
6580,OTHER,1,NO,Black,Med,PROBABLE CAUSE,OTHER,INVESTIGATE,HONDA,2008.0,BLACK,DRIVER,MA,86124.0,83574,16,0.15714285714285714,4771,Roslindale,0.25,0.8181818181818182,0.8,0,0,0,0,1,1,0,0,1,0,3,7,1,1,2,39,3,1,0,18,5,25
29126,OTHER,1,YES,Black,Med,PROBABLE CAUSE,OTHER,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11756.0,103551,4,0.18571428571428572,485,Dorchester,0.0,0.8181818181818182,0.8333333333333334,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,3,4,0,18,5,50
15892,OTHER,1,YES,White,Light,REASONABLE SUSPICION,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11596.0,95800,2,0.2571428571428571,4035,OTHER,0.5,0.4545454545454545,0.8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,44,3,1,6,18,3,49
90899,OTHER,1,YES,White,Light,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8662.0,11903,6,0.2571428571428571,OTHER,South Boston,0.25,0.4545454545454545,0.2,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,6,3,1,5,22,0,20
3145,OTHER,1,YES,Hispanic,Med,PROBABLE CAUSE,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,9040.0,10450,2,0.18571428571428572,506,East Boston,0.25,0.6363636363636364,0.9666666666666667,0,1,0,0,1,1,0,0,1,0,5,4,0,0,0,11,3,1,4,35,13,4
10175,OTHER,1,YES,Hispanic,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11612.0,108892,16,0.18571428571428572,OTHER,Mattapan,1.0,0.2727272727272727,0.8,0,1,0,1,0,1,0,0,1,0,5,4,0,0,2,13,3,4,5,2,3,10
69162,OTHER,1,YES,White,Med,PROBABLE CAUSE,MOTOR VEHICLE VIOLATION,VAL,HONDA,2002.0,GREY,DRIVER,MA,8662.0,10164,6,0.32857142857142857,OTHER,South Boston,0.0,0.0,0.1,0,1,0,1,0,1,0,0,1,1,6,3,1,10,0,6,3,4,2,3,4,30
